EP ID,SMILES,Es-Ea (eV),LUMO_sol (eV),HOMO_sol (eV),Dielectric constant of solvents,binary_features,cluster,PC1,PC2,PC3
ep-142,CC(=O)C=O,1.3328901699655955,-0.465858826,-8.152801562,2.2439,"[0, 0, 0, 0, 0]",2,0.9619811906492189,-4.715825141623084,0.48215176964107676
ep-2273,CC(C)C(=O)C=O,0.9743227827365568,-0.445722404,-8.107902785,1.5491,"[0, 0, 0, 0, 0]",2,0.4936356467756873,-4.6034857431912295,-0.4581972856074855
ep-3686,CCC(=O)CC=O,1.1856165816462858,-0.054694874,-7.711432978,1.6748,"[0, 0, 0, 0, 0]",2,-0.0013489199262287101,-4.4842726309919145,0.37113024354027824
ep-3721,O=CCC(=O)C=O,1.221570508069404,-0.494158661,-8.176475462,1.7924,"[0, 0, 0, 0, 0]",2,0.8709999141859417,-4.700524411634844,0.1779189178105246
ep-3737,CC(=O)CCC=O,1.1431940438469588,0.123539665,-7.590886565,1.9106,"[0, 0, 0, 0, 0]",2,-0.24917417021101898,-4.41040839994586,0.31057302627688727
ep-468861,CC(C)C(=O)C(C)C=O,0.4684815456722961,0.281093555,-7.615104693,3.5526,"[0, 0, 0, 0, 0]",2,-0.7895754582921758,-4.1938925809290915,-1.6842162025404668
ep-468920,CCCC(=O)C(C)C=O,1.0596898426878918,0.09306292,-7.590614451,3.2226,"[0, 0, 0, 0, 0]",2,-0.25916362075598565,-4.3728120095333685,0.01807121906974503
ep-468921,CCC(=O)CC(C)C=O,0.4837377901267445,0.48409045,-7.389250239,5.9253,"[0, 0, 0, 0, 0]",2,-1.0495335430488488,-4.069379685235637,-1.6123875185968168
ep-469201,CC(C)C(C)C(=O)C=O,1.1900929788352217,-0.231840958,-8.022186938,4.0248,"[0, 0, 0, 0, 0]",2,0.6784067303988588,-4.586232030567123,0.07039321803720174
ep-469248,CCCC(C)C(=O)C=O,1.2204599167597734,-0.334699974,-8.043956042,3.709,"[0, 0, 0, 0, 0]",2,0.7346341411804138,-4.614992736945429,0.16376542367589775
ep-469251,CCC(=O)C(C)CC=O,0.4790577950320678,0.296059814,-7.38788967,8.482,"[0, 0, 0, 0, 0]",2,-0.9081899522518627,-4.051190183002169,-1.7287510262940577
ep-469319,CCC(CC)C(=O)C=O,1.1320260221706742,-0.251705265,-7.983002551,7.7147,"[0, 0, 0, 0, 0]",2,0.7535451929201414,-4.511589434564645,-0.23656493079507263
ep-469322,CCC(CC=O)C(C)=O,0.9668976808884886,0.339053795,-7.400951132,6.9966,"[0, 0, 0, 0, 0]",2,-0.48923758478615875,-4.2103159300075,-0.3073191678128088
ep-469532,CC(C)(C)CC(=O)C=O,1.3457663206676502,-0.453341591,-8.142461237,1.6272,"[0, 0, 0, 0, 0]",2,0.9227409716838202,-4.722209987911027,0.5533721172598907
ep-469549,CCC(C)C(=O)CC=O,0.5409422954842527,-0.029116177,-7.448298934,5.2041,"[0, 0, 0, 0, 0]",2,-0.9014191900270876,-4.157068543474214,-1.4157554551833986
ep-469710,CCCCCC(=O)C=O,1.2030447857769024,-0.352115257,-8.031710921,3.8593,"[0, 0, 0, 0, 0]",2,0.7053811881040556,-4.605007952891493,0.11806298189233211
ep-469711,CCCCC(=O)CC=O,1.0007826553914572,-0.02938829,-7.449659503,5.689,"[0, 0, 0, 0, 0]",2,-0.421591404494429,-4.283204546294136,-0.1534812289904768
ep-469741,O=CCCC(=O)CC=O,0.5152764872118292,-0.071838043,-7.54326665,5.0097,"[0, 0, 0, 0, 0]",2,-0.7700562379933116,-4.190735766439541,-1.5412804968939955
ep-474933,CCCCC(=O)C(C)=O,1.1593356625550146,-0.031020973,-7.965315154,1.4378,"[0, 0, 0, 0, 0]",2,0.39897094915346526,-4.572025764688801,0.12879561183299423
ep-475016,CCC(C)C(=O)C(C)=O,1.2269157935210602,0.001632683,-7.946539301,1.4791,"[0, 0, 0, 0, 0]",2,0.43315667507736455,-4.5812983864993475,0.3262086646788981
ep-476970,CC(=O)C(=O)C(C)(C)C,1.2819536989981402,-0.011700893,-7.948716212,1.613,"[0, 0, 0, 0, 0]",2,0.4989077444450515,-4.5972690223328625,0.47344800412971055
ep-476974,CCC(=O)C(C)(C)C=O,1.0826963315469755,0.132247307,-7.584900061,2.5822,"[0, 0, 0, 0, 0]",2,-0.2831981915948472,-4.381991603175895,0.11320582579250732
ep-477058,CCC(=O)C(=O)C(C)C,1.1557140127352583,0.253610062,-7.85619752,3.4426,"[0, 0, 0, 0, 0]",2,0.29852772991380333,-4.483484138818103,0.0763113548813198
ep-477064,CCC(=O)C(C)C(C)=O,1.0007406798387743,0.384496799,-7.486666979,5.1369,"[0, 0, 0, 0, 0]",2,-0.4102004716232932,-4.270931042435903,-0.18909478410558092
ep-477068,CCC(=O)C(C=O)CC,1.048426457241546,0.06231406,-7.588437541,4.14,"[0, 0, 0, 0, 0]",2,-0.2228182025603036,-4.360012019912088,-0.052456818152141545
ep-477199,CCC(C)(C)C(=O)C=O,1.1845159011319684,-0.132519421,-8.029261897,4.395,"[0, 0, 0, 0, 0]",2,0.6996514878959081,-4.574885486593812,0.023874883663133974
ep-477242,CCC(C(C)=O)C(C)=O,0.9990550921810232,0.363271923,-7.50816397,7.0223,"[0, 0, 0, 0, 0]",2,-0.27173861204869787,-4.257085222742384,-0.295826277118075
ep-477252,CCCC(C=O)C(C)=O,1.0960432297383842,0.168438442,-7.618642172,2.9356,"[0, 0, 0, 0, 0]",2,-0.1945455438768991,-4.391156960250779,0.10713326495075036
ep-477569,CCCC(=O)C(=O)CC,1.2709544314922532,0.096872513,-7.91279719,1.4909,"[0, 0, 0, 0, 0]",2,0.41322445958478693,-4.57369051198334,0.46428705596754877
ep-477648,O=C(CCF)CC(F)F,0.7967811477908027,0.175241287,-7.748440455,3.8815,"[0, 0, 0, 0, 0]",2,-0.21256927206326207,-4.341653864442898,-0.8659169246036265
ep-482359,CC(=O)C(CF)C(F)F,1.0763850702119535,0.135512672,-7.760685576,11.8993,"[0, 0, 0, 0, 0]",2,0.5176192039845866,-4.33141168570682,-0.46662910090863285
ep-487941,CCC(C)(C=O)C(C)=O,0.4671398730576739,0.149118362,-7.439047064,2.7014,"[0, 0, 0, 0, 0]",2,-1.1347343003123282,-4.148985162834027,-1.5131459755107297
ep-488183,CC(=O)C(C=O)C(C)C,0.4419669944497166,0.050885281,-7.441496089,2.9672,"[0, 0, 0, 0, 0]",2,-1.135410621914042,-4.1472192688747205,-1.589340821825414
ep-490782,CC(=O)Cc1ccco1,0.7027065847762661,0.455790615,-7.460544055,8.3653,"[0, 0, 0, 0, 1]",2,-0.6848700248201978,-3.8456268562106772,0.06697068800724017
ep-492694,O=CC(=O)c1ccco1,0.9581266736538568,-0.38313623,-7.855653292,4.3196,"[0, 0, 0, 0, 1]",2,0.0792852174346096,-4.181132211239563,0.7668969337906073
ep-526350,O=CC(=O)c1ccoc1,1.202698501402575,-0.435926308,-7.932661498,2.3454,"[0, 0, 0, 0, 1]",2,0.34931875896682785,-4.307959906372101,1.494399144718638
ep-526353,O=CC(=O)c1c#coc1,-0.9154357224144354,-0.710761246,-8.298926672,2.7447,"[0, 0, 0, 0, 1]",2,-1.057660017201362,-3.8549335057849263,-4.681316400698738
ep-684,CCC(=O)C=O,1.3503640887628523,-0.475110695,-8.120964247,1.6884,"[0, 0, 0, 0, 0]",2,0.8944877041459603,-4.7165195306753205,0.5802874543130274
ep-690,CC(=O)CC=O,1.192636779115381,-0.052517963,-7.730753058,1.9882,"[0, 0, 0, 0, 0]",2,0.05581849814316583,-4.4894536639457705,0.3622780111941269
